age,breakdown_count,repair_cost,downtime_hours,risk_level
10,6,891,47,Medium
5,5,6914,32,Medium
5,6,16384,64,High
5,6,15089,39,Medium
9,6,26911,57,High
7,14,25980,7,High
20,11,9459,61,High
3,14,14481,67,High
17,7,14511,50,Medium
19,14,6708,6,High
19,1,12836,28,Medium
5,11,18902,66,High
5,10,16307,65,High
19,9,12612,74,High
6,6,18089,16,Medium
10,10,28763,26,High
15,6,20410,80,High
14,9,28177,61,High
7,14,14582,78,High
2,10,28798,25,High
19,13,16146,62,High
20,0,16293,11,Low
20,12,1064,60,High
3,15,18273,20,High
3,11,15998,51,High
12,14,23539,37,High
3,12,15985,62,High
10,6,12415,6,Medium
8,6,25637,30,High
9,10,3036,4,Medium
2,6,26116,42,High
16,12,21508,50,High
14,14,19756,37,High
18,3,19201,77,High
9,12,23017,55,High
9,5,15673,51,High
8,5,4918,68,High
16,5,3625,6,Low
2,7,6579,39,Medium
9,1,6335,41,Medium
8,14,21927,79,High
10,5,5758,1,Low
2,9,5258,44,Medium
18,15,14319,75,High
18,10,25454,63,High
20,6,5566,79,High
5,11,24980,45,High
8,8,13589,58,High
2,10,5161,32,Medium
18,4,20612,65,High
12,0,5046,32,Medium
4,1,2313,58,High
2,7,29024,17,High
3,3,24552,14,High
10,6,13248,2,Medium
19,12,16814,34,High
7,12,23147,28,High
5,10,24704,47,High
4,1,25303,31,High
7,4,18009,72,High
5,10,9711,79,High
12,13,4954,55,High
13,6,16801,15,Medium
7,9,8647,27,Medium
10,1,18219,62,High
17,5,10848,61,High
3,15,27835,37,High
18,3,23130,35,High
6,6,1996,3,Medium
19,1,20942,62,High
10,8,7629,32,Medium
2,15,15082,5,High
2,1,17238,25,Low
11,0,23109,55,High
11,14,23032,47,High
17,4,21101,68,High
20,4,22803,64,High
13,14,25999,56,High
14,7,22359,36,High
8,12,3717,77,High
11,10,25830,13,High
17,9,29250,57,High
12,12,12727,42,High
11,5,8102,18,Low
11,13,28781,51,High
2,5,8313,54,High
3,8,14163,33,Medium
5,6,11441,17,Medium
18,12,5199,34,High
11,9,16186,53,High
10,14,27480,74,High
4,6,15014,79,High
15,4,26122,72,High
11,8,16337,19,Medium
10,5,1798,39,Medium
18,7,1138,30,Medium
15,14,25639,44,High
13,3,15286,71,High
18,13,28666,2,High
8,0,6819,51,High
6,6,13881,50,Medium
10,9,5597,6,Medium
1,4,19048,2,Low
15,5,14679,58,High
18,14,4022,1,High
12,7,759,54,High
16,14,4765,64,High
12,11,4163,38,High
20,13,28144,61,High
8,4,5669,4,Low
16,12,24053,44,High
9,2,23981,7,High
13,4,22271,5,High
12,12,17260,79,High
7,0,25323,16,High
6,15,14599,47,High
12,11,20584,77,High
17,0,20435,44,High
11,14,16247,13,High
7,4,28023,54,High
9,5,17747,11,Low
11,7,7154,75,High
20,2,25762,49,High
8,14,3551,55,High
18,6,20668,26,High
14,13,21161,10,High
14,10,22307,61,High
8,0,25808,64,High
9,8,16369,33,Medium
19,7,27061,15,High
19,13,1323,61,High
5,12,1660,72,High
11,3,9154,17,Low
